X_target,Y_target,Hora_target,X_click_sujeto,Y_click_sujeto,Hora_click_sujeto,Diferencia_X,Diferencia_Y, Dif_Tiempo, N_correctos,Posición Target, Fecha_prueba: Mon Jul 18 13:09:43 CDT 2022,Sujeto: gustavo,N_ensayos: 10,Umbral Clicks correctos: 5,Lim. Tiempo (seg): 3,Distancia Limite_X: 80,Distancia Limite_Y: 80
1280,720,13:9:43:46,1312,755,13:9:43:926,-32,-35,0:0:0:880,correcto, centro
1988,593,13:9:43:926,2020,664,13:9:45:119,-32,-71,0:0:1:807,correcto, aleatoria
1280,720,13:9:45:119,1303,788,13:9:46:255,-23,-68,0:0:1:136,correcto, centro
856,39,13:9:46:255,890,119,13:9:49:461,-34,-80,0:0:3:206,_,aleatoria
1280,720,13:9:49:461,1304,782,13:9:50:350,-24,-62,0:0:0:111,correcto, centro
1298,468,13:9:50:350,1332,520,13:9:51:93,-34,-52,0:0:0:257,correcto, aleatoria
1280,720,13:9:51:93,1320,785,13:9:51:756,-40,-65,0:0:0:663,correcto, centro
414,1098,13:9:51:756,448,1161,13:9:52:949,-34,-63,0:0:1:193,correcto, aleatoria
1280,720,13:9:52:949,1308,789,13:9:53:973,-28,-69,0:0:1:24,correcto, centroX_target,Y_target,Hora_target,X_click_sujeto,Y_click_sujeto,Hora_click_sujeto,Diferencia_X,Diferencia_Y, Dif_Tiempo, N_correctos,Posición Target, Fecha_prueba: Thu Sep 15 16:41:15 CDT 2022,Sujeto: Gustavo,N_ensayos: 10,Umbral Clicks correctos: 5,Lim. Tiempo (seg): 3,Distancia Limite_X: 80,Distancia Limite_Y: 80
1280,720,16:41:15:540,30,70,16:41:16:698,1250,650,0:0:1:158,_,centro
316,808,16:41:16:698,35,70,16:41:17:305,281,738,0:0:0:393,_,aleatoria
1280,720,16:41:17:305,1364,246,16:41:17:800,-84,474,0:0:0:495,_,centro
1889,1206,16:41:17:800,2298,336,16:41:18:250,-409,870,0:0:0:550,_,aleatoria
1280,720,16:41:18:250,2409,94,16:41:18:869,-1129,626,0:0:0:619,_,centro
1848,420,16:41:18:869,2466,168,16:41:19:252,-618,252,0:0:0:617,_,aleatoria
1280,720,16:41:19:252,2487,727,16:41:19:656,-1207,-7,0:0:0:404,_,centro
1549,326,16:41:19:656,2461,1260,16:41:20:264,-912,-934,0:0:0:392,_,aleatoria
1280,720,16:41:20:264,2322,1414,16:41:20:613,-1042,-694,0:0:0:349,_,centro
2094,610,16:41:20:613,1772,1417,16:41:21:85,322,-807,0:0:0:528,_,aleatoria
1280,720,16:41:21:85,1322,1417,16:41:21:378,-42,-697,0:0:0:293,_,centro
1876,750,16:41:21:378,936,1372,16:41:21:727,940,-622,0:0:0:349,_,aleatoria
1280,720,16:41:21:727,685,1358,16:41:22:188,595,-638,0:0:0:539,_,centro
390,43,16:41:22:188,303,1371,16:41:22:762,87,-1328,0:0:0:574,_,aleatoria
1280,720,16:41:22:762,88,1365,16:41:23:110,1192,-645,0:0:0:652,_,centro
1721,836,16:41:23:110,36,1245,16:41:23:470,1685,-409,0:0:0:360,_,aleatoria
1280,720,16:41:23:470,34,927,16:41:24:89,1246,-207,0:0:0:381,_,centro
1411,1155,16:41:24:89,47,663,16:41:24:663,1364,492,0:0:0:574,_,aleatoria
1280,720,16:41:24:663,47,353,16:41:25:0,1233,367,0:0:0:663,_,centro
1049,369,16:41:25:0,37,211,16:41:25:349,1012,158,0:0:0:349,_,aleatoria
1280,720,16:41:25:349,109,50,16:41:25:666,1171,670,0:0:0:317,_,centro
117,792,16:41:25:666,452,74,16:41:25:957,-335,718,0:0:0:291,_,aleatoria
1280,720,16:41:25:957,1016,81,16:41:26:238,264,639,0:0:0:719,_,centro
971,397,16:41:26:238,1322,92,16:41:26:531,-351,305,0:0:0:293,_,aleatoria
1280,720,16:41:26:531,1534,87,16:41:26:778,-254,633,0:0:0:247,_,centro
901,1185,16:41:26:778,1871,79,16:41:27:26,-970,1106,0:0:0:752,_,aleatoria
1280,720,16:41:27:26,2150,73,16:41:27:262,-870,647,0:0:0:236,_,centro
889,152,16:41:27:262,2354,73,16:41:27:498,-1465,79,0:0:0:236,_,aleatoria
1280,720,16:41:27:498,2396,78,16:41:27:723,-1116,642,0:0:0:225,_,centro
2305,179,16:41:27:723,2434,95,16:41:27:971,-129,84,0:0:0:248,_,aleatoria
1280,720,16:41:27:971,2448,426,16:41:28:274,-1168,294,0:0:0:697,_,centro
1038,483,16:41:28:274,2398,909,16:41:28:591,-1360,-426,0:0:0:317,_,aleatoria
1280,720,16:41:28:591,2435,1147,16:41:29:96,-1155,-427,0:0:0:495,_,centro